DATABASE_NAME,SCHEMA_NAME,VIEW_NAME,COLUMN_NAME,DISTINCT_VALUES,DATA_TYPE,DESCRIPTION
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_DT,"2023-07-03, 2023-07-06, 2023-07-18, 2023-07-20",DATE,The TRANSACTION_DT column likely represents the date on which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_YEAR,2023,NUMBER,The TRANSACTION_YEAR column likely represents the year in which a transaction took place.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_MONTH,"7, 8",NUMBER,The TRANSACTION_MONTH column likely represents the month in which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_YEAR_MONTH,"2023-07, 2023-08",TEXT,"This column likely represents the year and month when a transaction occurred, formatted together."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_MONTH_NUM_NAME,"07 Jul, 08 Aug",TEXT,"This column likely represents the name of the month corresponding to a transaction, using its numerical order in the year."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_MONTH_NAME,"Jul, Aug",TEXT,"The column ""TRANSACTION_MONTH_NAME"" likely represents the name of the month in which a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_QUARTER,3,NUMBER,The TRANSACTION_QUARTER column likely represents the specific quarter of the year in which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_DAY_NUM_OF_MONTH,"8, 11, 23, 25",NUMBER,This column represents the specific day of the month on which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_DAY_OF_MONTH,"DAY-08, DAY-11, DAY-23, DAY-25",TEXT,"The column ""TRANSACTION_DAY_OF_MONTH"" represents the specific day of the month on which a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_WEEK_OF_YEAR,"2023-W28, 2023-W30, 2023-W33, 2023-W32",TEXT,This column likely represents the specific week number within a year when a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,STORE_NUMBER,55,TEXT,The STORE_NUMBER column likely represents a unique identifier assigned to each store location within a retail chain or business.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,STORE_NAME,"MCCARTHY TIRE - ROANOKE, VA",TEXT,The STORE_NAME column likely represents the name of a retail or business location.
