DB_SCHEMA,TABLE_NAME,COLUMN_NAME,DESCRIPTION
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_DT,The full date on which the transaction occurred.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_YEAR,The year part extracted from the transaction date.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_MONTH,The month number from the transaction date.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_YEAR_MONTH,A combined string or numeric value of year and month.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_MONTH_NUM_NAME,Month number along with its name.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_MONTH_NAME,The name of the month.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_QUARTER,The fiscal or calendar quarter in which the transaction falls.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_DAY_NUM_OF_MONTH,Day number of the month.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_DAY_OF_MONTH,"Alias or similar to above, possibly formatted differently or used for display."
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_WEEK_OF_YEAR,Week number of the year in which the transaction occurred.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_NUMBER,Unique identifier for a store location.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_NAME,The name of the store.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_NUM_NAME,Combined string of store number and name.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CITY,City in which the store is located.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STATE,State/province where the store is located.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,REGION,Higher-level geographic categorization.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SALES_REP_NUMBER,Unique ID assigned to the sales representative.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SALES_REP_NAME,Full name of the sales representative.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SALES_REP_NUM_NAME,Combined field of sales rep number and name.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,PARENT_CUSTOMER_NAME,The name of the primary customer or corporate account.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ACCOUNT_TYPE_NAME,Classification of account type.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ACCOUNT_GROUP,Grouping/category under which accounts are classified.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,BRAND_NAME,The brand of the product involved in the transaction.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,QUANTITY,Number of units sold in the transaction.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,COST,Cost price for the quantity sold.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,DAILY_SALES,Revenue generated from the sale on that day.
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,GROSS_PROFIT,Profit made from the transaction (Daily Sales - Cost).
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,GP_PERCENT,Gross profit percentage ((Gross_Profit / Daily_Sales) * 100).
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,WORK_ORDER_STATUS,Status of the work order associated with the transaction
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DT,Full date when the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR,Year extracted from the transaction date
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH,Month number extracted from the transaction date
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR_MONTH,Combined year and month for easier grouping
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH_NUM_NAME,Month number with its name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH_NAME,Full name of the month
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_QUARTER,Quarter in which the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DAY_NUM_OF_MONTH,Day number in the month
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DAY_OF_MONTH,Alias for day-of-month
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_WEEK_OF_YEAR,Week number within the year
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CUSTOMER_NAME,Name of the customer associated with the transaction
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,PARENT_CUSTOMER_NAME,Parent or corporate customer name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,ACCOUNT_TYPE_NAME,Type of account
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,ACCOUNT_GROUP,Group to which the account belongs for business segmentation
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STORE_NUMBER,Unique store identifier where the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STORE_NAME,Name of the store
