DB_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION,BUSINESS_NAME,IS_PRIMARY_KEY,IS_FOREIGN_KEY,FOREIGN_KEY_TABLE,FOREIGN_KEY_COLUMN,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,WORK_ORDER_STATUS,TEXT,Status of the work order,Work Order Status,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DT,DATE,Fiscal calendar date of transaction,Transaction Date,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR,NUMBER,Fiscal year of transaction,Transaction Year,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH,NUMBER,Fiscal month number of transaction,Transaction Month,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR_MONTH,TEXT,Fiscal year-month in YYYY-MM format,Transaction Year Month,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH_NAME,TEXT,Fiscal month name,Transaction Month Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_QUARTER,NUMBER,Fiscal quarter,Transaction Quarter,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DAY_OF_MONTH,TEXT,Fiscal day of month indicator,Transaction Day of Month,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_WEEK_OF_YEAR,TEXT,Fiscal year-week number,Transaction Week of Year,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CUSTOMER_NAME,TEXT,Customer name,Customer Name,FALSE,TRUE,T_DIM_CUSTOMER,CUSTOMER_NAME,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,PARENT_CUSTOMER_NAME,TEXT,Parent customer name,Parent Customer Name,FALSE,TRUE,T_DIM_CUSTOMER,CUSTOMER_NAME,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,ACCOUNT_TYPE_NAME,TEXT,Customer account type,Account Type,FALSE,TRUE,T_DIM_CUSTOMER_ACCOUNT,ACCOUNT_TYPE_NAME,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,ACCOUNT_GROUP,TEXT,Derived grouping of account type,Account Group,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STORE_NUMBER,TEXT,Store identifier,Store Number,FALSE,TRUE,T_DIM_STORE,STORE_NUMBER,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STORE_NAME,TEXT,Store name,Store Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STORE_NUM_NAME,TEXT,Concatenated store number and name,Store Number Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CITY,TEXT,Store city,City,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STATE,TEXT,Store state,State,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,REGION,TEXT,Distribution center region,Region,FALSE,TRUE,T_DIM_DISTRIBUTION_CENTER,DISTRIBUTION_CENTER_ID,,,,,
