COLUMN_NAME,DATA_TYPE,DB_SCHEMA,TABLE_NAME,DISTINCT_VALUES,DESCRIPTION
AVG_TARGET_PRICE,FLOAT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"114.25866666666667, 144.00641025641025, 113.76521739130435, 112.85833333333333",The AVG_TARGET_PRICE column likely represents the average projected price or value of a product or solution as estimated by analysts or experts.
MARGIN_PERCENTAGE,FLOAT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"59.21636556684031, -61.31806573187922, 61.959526175371174, 55.74576393357312","The ""MARGIN_PERCENTAGE"" column likely represents the percentage of profit margin earned on technology solutions provided by the company."
REP_PERFORMANCE_TIER,TEXT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,Top Performer (>$1M),"The ""REP_PERFORMANCE_TIER"" column likely indicates the performance level or category assigned to a representative based on their achievements or metrics."
REP_MARGIN_RANK,NUMBER,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"3, 59, 2, 4","The column ""REP_MARGIN_RANK"" likely represents the ranking of a representative based on their profit margin performance."
REP_WIN_RATE_RANK,NUMBER,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"16, 12, 21, 20","The column ""REP_WIN_RATE_RANK"" likely represents the ranking of a sales representative's success rate in securing deals or contracts compared to their peers."
TEAM_MEMBER_ROLE,TEXT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"SM_Rep, SM_RSM","The ""TEAM_MEMBER_ROLE"" column likely represents the specific function or position held by a team member within a project or organization."
TOTAL_LOST_REVENUE_SUPPORTED,FLOAT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"1765420.0, 1078000.0, 40000.0, 900000.0","The column ""TOTAL_LOST_REVENUE_SUPPORTED"" likely represents the total amount of revenue that was not realized but is accounted for or mitigated through support measures."
ROLE_CATEGORY,TEXT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"Sales Representative, Regional Sales Manager","The ""ROLE_CATEGORY"" column likely represents the classification or type of role assigned to individuals or entities within the organization, such as employee roles or partner categories."
FIRM_AVG_DEAL_SIZE,FLOAT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"330395.39492753625, 416920.6153846153, 860093.75, 85197.14285714286","The column ""FIRM_AVG_DEAL_SIZE"" likely represents the average monetary value of deals or transactions made by the firm."
AVG_WON_DEAL_SIZE,FLOAT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"550508.8333333334, 549095.1794871795, 880786.7826086957, 819958.3333333334","The column ""AVG_WON_DEAL_SIZE"" likely represents the average monetary value of successful deals or contracts secured by the company."
REP_FIRM_MARKET_SHARE_PERCENT,FLOAT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"35.55, 83.57, 21.8, 21.18","The column ""REP_FIRM_MARKET_SHARE_PERCENT"" likely represents the percentage of the market share held by a specific representative firm within the technology solutions industry."
TOTAL_OPPORTUNITIES_SUPPORTED,NUMBER,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"448, 235, 251, 258","The column ""TOTAL_OPPORTUNITIES_SUPPORTED"" likely represents the total number of technology solution opportunities that have been assisted or facilitated by the company."
FIRM_TOTAL_DEALS,NUMBER,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"137.0, 47.0, 16.0, 30.0","The column ""FIRM_TOTAL_DEALS"" likely represents the total number of deals or transactions completed by the firm."
LOST_OPPORTUNITIES_SUPPORTED,NUMBER,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"38, 18, 19, 21","The column ""LOST_OPPORTUNITIES_SUPPORTED"" likely represents the number of potential sales or projects that were not successfully converted into deals, despite receiving support or resources."
REP_DEALS_RANK,NUMBER,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"1, 2, 5, 4","The ""REP_DEALS_RANK"" column likely represents the ranking or position of a sales representative based on their performance or success in closing deals."
WON_OPPORTUNITIES_SUPPORTED,NUMBER,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"60, 39, 23, 24","The column ""WON_OPPORTUNITIES_SUPPORTED"" likely represents the number of successful sales opportunities or deals that have been facilitated or backed by the company's technology solutions."
TOTAL_WON_REVENUE_SUPPORTED,FLOAT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"33030530.0, 21414712.0, 20258096.0, 19679000.0","The column ""TOTAL_WON_REVENUE_SUPPORTED"" likely represents the total amount of revenue generated from successfully completed sales or projects that have been supported by the company's solutions."
FIRM_TOTAL_REVENUE,FLOAT,PENGUIN_INTELLIGENCE_HUB.GOLD,VW_ALL_REP_KPI,"92921626.0, 25624712.0, 13761500.0, 11346200.0","The column ""FIRM_TOTAL_REVENUE"" likely represents the total income generated by the firm from all its technology solutions and services over a specific period."
