db_schema,table_name,column_name,data_type,description,combined_text
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,WORK_ORDER_STATUS,,Status of the work order associated with the transaction,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: WORK_ORDER_STATUS
Description: Status of the work order associated with the transaction"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DT,,Full date when the transaction occurred,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_DT
Description: Full date when the transaction occurred"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR,,Year extracted from the transaction date,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_YEAR
Description: Year extracted from the transaction date"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH,,Month number extracted from the transaction date,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_MONTH
Description: Month number extracted from the transaction date"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR_MONTH,,Combined year and month for easier grouping,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_YEAR_MONTH
Description: Combined year and month for easier grouping"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH_NUM_NAME,,Month number with its name,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_MONTH_NUM_NAME
Description: Month number with its name"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH_NAME,,Full name of the month,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_MONTH_NAME
Description: Full name of the month"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_QUARTER,,Quarter in which the transaction occurred,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_QUARTER
Description: Quarter in which the transaction occurred"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DAY_NUM_OF_MONTH,,Day number in the month,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_DAY_NUM_OF_MONTH
Description: Day number in the month"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DAY_OF_MONTH,,Alias for day-of-month,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_DAY_OF_MONTH
Description: Alias for day-of-month"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_WEEK_OF_YEAR,,Week number within the year,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: TRANSACTION_WEEK_OF_YEAR
Description: Week number within the year"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CUSTOMER_NAME,,Name of the customer associated with the transaction,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: CUSTOMER_NAME
Description: Name of the customer associated with the transaction"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,PARENT_CUSTOMER_NAME,,Parent or corporate customer name,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: PARENT_CUSTOMER_NAME
Description: Parent or corporate customer name"
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,ACCOUNT_TYPE_NAME,,Type of account,"Database: REPORTING_UAT
Schema: GOLD_SALES
Table: V_SMM_DAILY_SALES
Column: ACCOUNT_TYPE_NAME
Description: Type of account"
