timestamp,model,prompt,sql_query,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost,query_executed
2025-07-05 03:05:18,claude-3-5-sonnet-20241022,Show me the top 2 stores with highest sales,"SELECT      s.STORE_NUM_NAME,     s.CITY,     s.STATE,     SUM(CAST(s.DAILY_TOTAL_SALE AS DECIMAL(18,2))) as TOTAL_SALES FROM REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES s GROUP BY      s.STORE_NUM_NAME,     s.CITY,     s.STATE ORDER BY TOTAL_SALES DESC LIMIT 2",1918,132,2050,0.05754,0.00792,0.06546,1
2025-07-05 03:06:01,models/gemini-1.5-flash-latest,give me distinct brand name limit 2,SELECT DISTINCT   BRAND_NAME FROM   REPORTING_UAT.GOLD_SALES.V_SMM_ITEM_DAILY_SALE LIMIT 2;,0,0,0,0.0,0.0,0.0,0
2025-07-05 03:07:56,models/gemini-1.5-flash-latest,give me distinct brand name limit 2,SELECT DISTINCT BRAND_NAME FROM REPORTING_UAT.GOLD_SALES.V_SMM_ITEM_DAILY_SALE LIMIT 2;,0,0,0,0.0,0.0,0.0,0
2025-07-05 03:08:24,gpt-4o,Show me top 5 customers by revenue,"SELECT      CUSTOMER_NAME,     SUM(DAILY_TOTAL_SALE) AS TOTAL_REVENUE FROM      REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES GROUP BY      CUSTOMER_NAME ORDER BY      TOTAL_REVENUE DESC LIMIT 5;",1564,65,1629,0.01564,0.00195,0.01759,1
2025-07-05 03:08:32,claude-3-5-sonnet-20241022,Show me top 5 customers by revenue,"SELECT      ds.PARENT_CUSTOMER_NAME,     SUM(CAST(ds.DAILY_TOTAL_SALE AS DECIMAL(18,2))) as total_revenue FROM REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES ds WHERE ds.PARENT_CUSTOMER_NAME IS NOT NULL GROUP BY ds.PARENT_CUSTOMER_NAME ORDER BY total_revenue DESC LIMIT 5;",1916,116,2032,0.05748,0.00696,0.06444,1
2025-07-05 03:08:39,models/gemini-1.5-flash-latest,Show me top 5 customers by revenue,"SELECT   PARENT_CUSTOMER_NAME,   SUM(DAILY_TOTAL_SALE::FLOAT) AS total_revenue FROM   REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES GROUP BY   PARENT_CUSTOMER_NAME ORDER BY   total_revenue DESC LIMIT 5;",0,0,0,0.0,0.0,0.0,1
2025-07-05 15:05:47,claude-3-5-sonnet-20241022,Show me the top 2 stores with highest sales,"SELECT      s.STORE_NUM_NAME,     s.CITY,     s.STATE,     SUM(CAST(s.DAILY_TOTAL_SALE AS DECIMAL(18,2))) as TOTAL_SALES FROM REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES s GROUP BY      s.STORE_NUM_NAME,     s.CITY,     s.STATE ORDER BY TOTAL_SALES DESC LIMIT 2",1918,132,2050,0.05754,0.00792,0.06546,1
2025-07-05 15:06:14,models/gemini-1.5-flash-latest,Show me the top 2 stores with highest sales,SELECT 'Gemini SDK not installed' AS error_message LIMIT 100,0,0,0,0.0,0.0,0.0,1
2025-07-05 15:16:14,models/gemini-1.5-flash-latest,Show me the top 2 stores with highest sales,"SELECT   T1.STORE_NAME,   SUM(T1.DAILY_TOTAL_SALE) AS TotalSales FROM   REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES AS T1 GROUP BY   T1.STORE_NAME ORDER BY   TotalSales DESC LIMIT 2;",1705,45,1750,0.05115,0.0027,0.05385,1
2025-07-05 15:16:49,claude-3-5-sonnet-20241022,Show me the top 2 stores with highest sales,"SELECT      s.STORE_NUM_NAME,     s.CITY,     s.STATE,     SUM(CAST(s.DAILY_TOTAL_SALE AS DECIMAL(18,2))) as TOTAL_SALES FROM REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES s GROUP BY      s.STORE_NUM_NAME,     s.CITY,     s.STATE ORDER BY TOTAL_SALES DESC LIMIT 2",1918,132,2050,0.05754,0.00792,0.06546,1
