DB_SCHEMA,TABLE_NAME,COLUMN_NAME,DESCRIPTION
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,WORK_ORDER_STATUS,Status of the work order associated with the transaction
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DT,Full date when the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR,Year extracted from the transaction date
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH,Month number extracted from the transaction date
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR_MONTH,Combined year and month for easier grouping
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH_NUM_NAME,Month number with its name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH_NAME,Full name of the month
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_QUARTER,Quarter in which the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DAY_NUM_OF_MONTH,Day number in the month
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DAY_OF_MONTH,Alias for day-of-month
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_WEEK_OF_YEAR,Week number within the year
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CUSTOMER_NAME,Name of the customer associated with the transaction
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,PARENT_CUSTOMER_NAME,Parent or corporate customer name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,ACCOUNT_TYPE_NAME,Type of account
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,ACCOUNT_GROUP,Group to which the account belongs for business segmentation
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STORE_NUMBER,Unique store identifier where the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STORE_NAME,Name of the store
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STORE_NUM_NAME,Combined store number and name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CITY,City in which the store is located
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STATE,State or province of the store location
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,REGION,Geographical region
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,FORM_TYPE_CODE,Code representing the form or document type
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,FORM_TYPE_NAME,Name or description of the form type
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NUMBER,Identifier for the sales representative
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NAME,Full name of the sales representative
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NUM_NAME,Combined string of sales rep number and name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_CODE,Internal or vendor-specific code for the product category
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_NAME,Name of the product category
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_CODE_NAME,Combined code and name of the category
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,GROUP_ID,Identifier for the category group
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_GROUP_NAME,Name of the broader group under which categories fall
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_GROUP_ID_NAME,Combined group ID and group name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CLASS_ID,ID representing a more specific product classification
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CLASS_NAME,Name of the product class
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CLASS_ID_NAME,Combined class ID and class name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,VENDOR_NUMBER,Unique number identifying the vendor or supplier
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,VENDOR_NAME,Name of the vendor or supplier
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_QUANTITY,Total quantity sold on the transaction date
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_COST,Total cost for the quantity sold
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_SALE,Total revenue from sales on that date
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_GROSS_PROFIT,Total gross profit for that day
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_GROSS_PROFIT_PCT,Gross profit percentage for the day
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_QUANTITY,Total quantity sold in the fee category
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_COST,Total cost of fee-based items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_SALE,Total sales for fee-based items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_GROSS_PROFIT,Gross profit from fee-based items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_FEE_GROSS_PROFIT_PCT,Gross profit percentage from fee-based items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_QUANTITY,Quantity sold for category 88 items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_COST,Total cost for category 88 items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_SALE,Total sale value for category 88 items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_GROSS_PROFIT,Gross profit from category 88 items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_CAT88_GROSS_PROFIT_PCT,Gross profit percentage for category 88 items
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_DT,The date on which the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_YEAR,Year extracted from the transaction date
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_MONTH,Month extracted from the transaction date
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_YEAR_MONTH,Combination of transaction year and month
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_MONTH_NUM_NAME,Numeric representation and name of the transaction month
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_MONTH_NAME,Name of the transaction month
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_QUARTER,Quarter in which the transaction took place
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_DAY_NUM_OF_MONTH,Numeric day of the month when the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_DAY_OF_MONTH,Day of the month the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_WEEK_OF_YEAR,Week number within the year when the transaction occurred
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,FORM_TYPE_CODE,Code representing the form type of the transaction
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,POS_PREFIX,Prefix identifying the Point of Sale
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,WORK_ORDER_NUMBER,Unique identifier for the work order
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_NUMBER,Numerical ID of the store
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_NAME,Name of the store
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_NUM_NAME,Combined representation of store number and name
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_CITY,City where the store is located
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_STATE,State where the store is located
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,REGION,Geographical region assigned to the store
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SALES_REP_NUMBER,Unique identifier for the sales representative
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SALES_REP_NAME,Name of the sales representative
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SALES_REP_NUM_NAME,Combined representation of sales rep number and name
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_MANAGER_NAME,Name of the store manager
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,AREA_MANAGER_NUMBER,Unique identifier for the area manager
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,AREA_MANAGER_NAME,Name of the area manager
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,AREA_MANAGER_NUM_NAME,Combined representation of area manager number and name
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,REGIONAL_MANAGER_NUMBER,Unique identifier for the regional manager
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,REGIONAL_MANAGER_NAME,Name of the regional manager
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,REGIONAL_MANAGER_NUM_NAME,Combined representation of regional manager number and name
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CUSTOMER_ID,Unique identifier for the customer
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CUSTOMER_NAME,Name of the customer
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,PARENT_CUSTOMER_NAME,Name of the parent company or customer
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ACCOUNT_TYPE_NAME,Classification of the customer account
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ACCOUNT_GROUP,Grouping label for accounts
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_CODE,Code representing the product category
